"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Poppy","Jungle",4,"4.9%","32.9%","53.7%","75%","75%",3,9,52,6.1,"82.1%","19.6%","25%",-145,-126,-3,5.4,"15.5%",206,"8.9%","15.0%",0.35,0.48
"Poppy","Support",9,"11.0%","32.9%","53.7%","33%","33%",6,36,56,1.7,"56.9%","26.7%","44%",-19,-149,1.8,1.2,"2.9%",189,"8.6%","9.2%",2.17,0.5
"Poppy","Top",4,"4.9%","32.9%","53.7%","0%","100%",3,9,23,2.9,"72.2%","14.8%","0%",62,-50,-7.8,7.3,"22.6%",441,"20.0%","19.7%",0.47,0.2
"Pyke","Support",2,"2.4%","0.0%","2.4%","100%","100%",3,3,15,6,"62.1%","18.8%","50%",276,597,-1.5,1.1,"3.0%",215,"9.3%","12.0%",3.22,0.49
"Rakan","Support",23,"28.0%","23.2%","51.2%","61%","35%",13,51,239,4.9,"77.3%","18.9%","39%",85,-79,-1,1.3,"3.0%",140,"5.8%","10.4%",2.68,0.63
"Rell","Support",44,"53.7%","19.5%","73.2%","48%","34%",28,178,447,2.7,"78.3%","28.5%","43%",-44,-81,0,1.1,"2.3%",129,"5.9%","9.5%",1.91,0.5
"Renata Glasc","Support",16,"19.5%","23.2%","42.7%","50%","44%",6,42,164,4,"82.9%","20.8%","19%",53,315,-0.3,1.2,"3.0%",177,"8.1%","10.4%",2.64,0.51
"Renekton","Top",16,"19.5%","26.8%","46.3%","25%","31%",37,65,69,1.6,"54.4%","26.3%","31%",26,71,2.1,7.9,"24.4%",426,"19.4%","22.0%",0.39,0.25
"Rumble","Top",26,"31.7%","24.4%","56.1%","58%","46%",87,71,156,3.4,"67.1%","21.3%","19%",177,239,7.3,7.7,"22.6%",625,"26.0%","21.6%",0.41,0.12
"Ryze","Middle",1,"1.2%","0.0%","1.2%","0%","100%",1,3,12,4.3,"68.4%","13.0%","100%",47,45,2,9.5,"28.9%",774,"29.4%","22.6%",0.46,0.14
"Sejuani","Jungle",25,"30.5%","17.1%","47.6%","40%","64%",41,78,199,3.1,"78.2%","20.0%","48%",36,-96,-2.4,5.5,"14.8%",299,"13.2%","16.4%",0.4,0.4
"Senna","Support",1,"1.2%","0.0%","1.2%","0%","100%",3,2,5,4,"88.9%","8.7%","0%",-6,959,7,1.5,"3.4%",356,"17.1%","15.8%",1.81,0.61
